ratio,centrality,accuracy
0.5,degree,0.6206896551724138
0.5,closeness,0.5810983397190294
0.5,betweenness,0.6206896551724138
0.5,eigenvector,0.5925925925925926
0.5,katz,0.5810983397190294
0.6,degree,0.6309067688378033
0.6,closeness,0.6398467432950191
0.6,betweenness,0.6130268199233716
0.6,eigenvector,0.5670498084291188
0.6,katz,0.6181353767560664
0.7,degree,0.648786717752235
0.7,closeness,0.5632183908045977
0.7,betweenness,0.6424010217113666
0.7,eigenvector,0.5862068965517241
0.7,katz,0.565772669220945
0.75,degree,0.6641123882503193
0.75,closeness,0.632183908045977
0.75,betweenness,0.6526181353767561
0.75,eigenvector,0.5759897828863346
0.75,katz,0.5823754789272031
0.8,degree,0.6424010217113666
0.8,closeness,0.5376756066411239
0.8,betweenness,0.6385696040868455
0.8,eigenvector,0.5542784163473818
0.8,katz,0.6028097062579821
1.0,degree,0.5159642401021711
1.0,closeness,0.5236270753512133
1.0,betweenness,0.5478927203065134
1.0,eigenvector,0.5977011494252874
1.0,katz,0.42017879948914433
